iter	Passed	Remaining
0	2	279
1	5	262
2	8	262
3	10	244
4	12	246
5	15	238
6	17	235
7	21	245
8	24	243
9	26	241
10	29	239
11	32	235
12	34	232
13	37	231
14	40	228
15	42	224
16	45	220
17	47	218
18	50	215
19	53	212
20	55	209
21	58	206
22	60	203
23	63	200
24	67	202
25	70	199
26	72	197
27	75	194
28	78	191
29	81	190
30	84	187
31	86	184
32	89	181
33	91	178
34	94	175
35	97	172
36	99	169
37	102	166
38	104	163
39	107	160
40	109	157
41	111	154
42	114	151
43	116	148
44	119	145
45	121	142
46	124	140
47	127	138
48	130	136
49	133	133
50	135	130
51	138	127
52	142	126
53	147	125
54	149	122
55	151	119
56	154	116
57	157	113
58	159	111
59	162	108
60	165	105
61	168	103
62	171	100
63	173	97
64	176	95
65	179	92
66	181	89
67	184	86
68	188	84
69	191	81
70	193	79
71	195	76
72	198	73
73	201	70
74	204	68
75	206	65
76	209	62
77	211	59
78	214	56
79	217	54
80	219	51
81	222	48
82	225	46
83	227	43
84	231	40
85	233	38
86	236	35
87	239	32
88	241	29
89	244	27
90	247	24
91	250	21
92	253	19
93	255	16
94	258	13
95	263	10
96	266	8
97	268	5
98	271	2
99	273	0
