iter	Passed	Remaining
0	134	134413
1	135	67770
2	136	45491
3	137	34322
4	139	27672
5	140	23244
6	141	20053
7	143	17747
8	144	15881
9	145	14407
10	146	13182
11	147	12157
12	148	11289
13	149	10543
14	150	9892
15	151	9324
16	152	8831
17	153	8387
18	154	7982
19	155	7623
20	157	7332
21	159	7074
22	160	6818
23	162	6600
24	163	6378
25	164	6160
26	165	5965
27	166	5783
28	167	5609
29	168	5452
30	169	5306
31	171	5177
32	172	5065
33	173	4943
34	175	4828
35	176	4721
36	177	4615
37	178	4516
38	179	4419
39	180	4328
40	181	4243
41	182	4161
42	183	4081
43	184	4007
44	186	3957
45	187	3890
46	188	3826
47	189	3762
48	190	3700
49	191	3640
50	192	3585
51	193	3530
52	194	3476
53	195	3426
54	196	3377
55	197	3333
56	198	3291
57	200	3255
58	201	3215
59	202	3175
60	203	3135
61	204	3095
62	205	3056
63	206	3019
64	207	2983
65	208	2947
66	209	2912
67	210	2878
68	211	2849
69	212	2824
70	214	2800
71	215	2772
72	215	2741
73	216	2713
74	217	2684
75	218	2657
76	219	2630
77	220	2603
78	221	2578
79	222	2553
80	223	2530
81	223	2506
82	224	2479
83	225	2456
84	226	2435
85	227	2416
86	228	2400
87	229	2381
88	230	2360
89	231	2340
90	232	2320
91	233	2301
92	234	2283
93	235	2266
94	236	2249
95	237	2232
96	237	2214
97	238	2198
98	239	2182
99	240	2168
100	241	2152
101	243	2141
102	244	2130
103	245	2116
104	246	2102
105	247	2088
106	248	2074
107	249	2061
108	250	2048
109	251	2034
110	252	2021
111	253	2009
112	254	1997
113	255	1985
114	256	1973
115	257	1965
116	258	1954
117	259	1943
118	260	1931
119	261	1920
120	262	1909
121	263	1897
122	264	1887
123	265	1877
124	266	1867
125	267	1856
126	268	1845
127	269	1834
128	270	1825
129	271	1817
130	272	1810
131	274	1803
132	275	1795
133	276	1786
134	277	1777
135	278	1768
136	279	1758
137	280	1751
138	281	1742
139	282	1733
140	283	1724
141	283	1714
142	284	1706
143	285	1698
144	287	1692
145	288	1685
146	289	1677
147	290	1669
148	290	1661
149	291	1654
150	292	1646
151	293	1639
152	294	1632
153	296	1626
154	297	1620
155	298	1614
156	299	1607
157	300	1601
158	302	1598
159	303	1593
160	304	1587
161	305	1581
162	306	1576
163	308	1572
164	309	1567
165	311	1563
166	312	1558
167	313	1554
168	315	1553
169	318	1554
170	320	1553
171	322	1550
172	323	1544
173	324	1540
174	325	1534
175	326	1528
176	327	1522
177	328	1516
178	329	1511
179	330	1507
180	332	1502
181	332	1496
182	334	1493
183	336	1490
184	337	1485
185	338	1480
186	339	1475
187	340	1470
188	341	1465
189	342	1459
190	343	1454
191	344	1450
192	346	1447
193	347	1442
194	348	1437
195	349	1432
196	350	1427
197	351	1421
198	351	1416
199	352	1411
200	353	1406
201	354	1401
202	355	1396
203	356	1391
204	357	1386
205	358	1381
206	359	1377
207	360	1373
208	361	1369
209	362	1365
210	363	1360
211	364	1355
212	365	1350
213	366	1346
214	367	1341
215	368	1336
216	369	1332
217	370	1327
218	371	1323
219	372	1318
220	372	1314
221	374	1312
222	375	1309
223	376	1305
224	377	1301
225	378	1297
226	379	1293
227	381	1290
228	382	1286
229	382	1282
230	383	1278
231	384	1273
232	385	1269
233	386	1265
234	387	1262
235	389	1260
236	390	1258
237	392	1255
238	393	1251
239	394	1247
240	395	1244
241	396	1240
242	397	1236
243	398	1233
244	399	1230
245	400	1226
246	401	1222
247	402	1219
248	403	1216
249	404	1214
250	405	1211
251	406	1207
252	407	1203
253	408	1200
254	409	1196
255	410	1193
256	411	1189
257	412	1186
258	413	1183
259	414	1179
260	415	1176
261	416	1173
262	417	1170
263	419	1168
264	420	1165
265	421	1161
266	421	1158
267	422	1154
268	423	1151
269	424	1148
270	425	1145
271	426	1142
272	427	1138
273	428	1135
274	429	1132
275	430	1130
276	431	1127
277	433	1125
278	434	1122
279	435	1120
280	436	1116
281	437	1113
282	438	1110
283	439	1107
284	440	1104
285	441	1101
286	441	1097
287	442	1094
288	444	1092
289	445	1090
290	446	1087
291	447	1085
292	449	1084
293	450	1082
294	451	1079
295	452	1077
296	453	1074
297	454	1071
298	455	1068
299	456	1065
300	458	1063
301	459	1061
302	460	1059
303	461	1057
304	463	1056
305	464	1053
306	465	1050
307	466	1048
308	468	1046
309	469	1045
310	470	1043
311	471	1040
312	472	1037
313	473	1034
314	474	1031
315	475	1029
316	476	1027
317	478	1026
318	479	1024
319	480	1021
320	481	1019
321	482	1016
322	483	1013
323	484	1011
324	485	1008
325	486	1006
326	487	1003
327	488	1001
328	489	998
329	490	996
330	492	994
331	493	992
332	494	989
333	495	987
334	495	984
335	496	981
336	497	979
337	498	977
338	499	974
339	500	972
340	501	969
341	502	967
342	503	964
343	504	962
344	505	960
345	507	959
346	508	956
347	509	954
348	510	952
349	511	949
350	512	947
351	513	945
352	514	942
353	515	940
354	516	937
355	517	935
356	517	932
357	518	930
358	520	928
359	521	927
360	523	925
361	524	923
362	525	921
363	526	919
364	527	917
365	528	914
366	529	912
367	530	910
368	531	908
369	532	906
370	533	904
371	534	901
372	535	900
373	536	898
374	537	896
375	538	894
376	539	892
377	540	890
378	541	887
379	542	885
380	543	883
381	544	881
382	545	879
383	546	877
384	547	874
385	548	873
386	550	872
387	552	870
388	553	868
389	554	866
390	555	864
391	556	862
392	557	860
393	558	858
394	558	856
395	560	854
396	561	852
397	562	850
398	563	848
399	564	846
400	566	846
401	567	844
402	569	843
403	570	840
404	571	838
405	572	836
406	573	835
407	574	833
408	575	831
409	576	828
410	576	826
411	577	824
412	580	825
413	582	824
414	583	822
415	584	820
416	585	818
417	586	816
418	587	814
419	588	812
420	588	809
421	589	807
422	590	805
423	591	803
424	592	801
425	593	800
426	595	798
427	596	797
428	597	795
429	598	793
430	599	791
431	600	789
432	601	787
433	601	785
434	602	782
435	603	780
436	604	778
437	605	776
438	606	774
439	606	772
440	608	770
441	610	770
442	611	769
443	612	767
444	613	765
445	615	764
446	616	762
447	617	760
448	618	758
449	619	756
450	620	754
451	621	753
452	622	751
453	623	749
454	624	748
455	625	746
456	626	744
457	627	743
458	628	741
459	629	739
460	630	737
461	631	735
462	632	733
463	633	731
464	634	729
465	635	727
466	636	726
467	637	724
468	639	723
469	640	721
470	641	720
471	642	718
472	643	716
473	644	714
474	644	712
475	645	710
476	646	709
477	647	707
478	648	705
479	649	703
480	650	701
481	651	699
482	652	698
483	653	697
484	654	695
485	655	693
486	656	691
487	657	690
488	658	688
489	659	686
490	660	684
491	661	682
492	662	680
493	662	679
494	663	677
495	664	675
496	665	673
497	666	672
498	668	671
499	669	669
500	670	667
501	671	665
502	672	664
503	672	662
504	673	660
505	674	658
506	675	656
507	676	655
508	677	653
509	678	651
510	679	649
511	680	648
512	681	646
513	682	645
514	683	643
515	684	641
516	685	640
517	685	638
518	686	636
519	687	634
520	688	633
521	689	631
522	690	629
523	691	628
524	692	626
525	693	624
526	694	622
527	694	621
528	695	619
529	697	618
530	698	616
531	699	614
532	699	613
533	700	611
534	701	609
535	702	608
536	703	606
537	704	604
538	705	603
539	706	601
540	707	600
541	708	598
542	709	596
543	710	595
544	711	593
545	712	592
546	713	591
547	714	589
548	715	588
549	716	586
550	717	584
551	718	583
552	719	581
553	720	580
554	721	578
555	722	576
556	723	575
557	724	573
558	725	572
559	726	570
560	727	569
561	728	567
562	729	566
563	730	564
564	731	562
565	731	561
566	732	559
567	733	558
568	734	556
569	735	554
570	736	553
